RC1_25,RC2_25,R1_25,R2_25,C1_25,C2_25,RC1_50,RC2_50,R1_50,R2_50,C1_50,C2_50,RC1_100,RC2_100,R1_100,R2_100,C1_100,C2_100,id,notes
500.3368905613856,1015.1984855414383,627.4469841781957,971.0079536221783,934.1672809429272,1004.3915145637758,1023.1404081118843,2179.4407447846606,1109.6972452130778,1812.049757219471,1876.4509449146926,2081.2350144924612,2000.567351092328,3764.293761095822,1837.4705420764685,3440.664903812729,4227.67534397943,5256.331363194175,75,
653.8711963734022,1157.5139476339411,726.2771974088542,1049.2381680331132,660.7212763211725,950.4932155720053,1344.3704351189438,2075.819180675421,1332.2117161622284,2083.05074244657,1635.9163753640028,2063.3496560242875,2808.188209325046,3654.4640166253575,2285.8927780776826,3611.4405985362305,3912.1673860342876,4553.987499325355,83,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,
662.403325061,920.4781723907765,773.5650368450925,873.4370130189731,604.8893809598103,794.268102587597,1317.574762186234,1892.3887806718722,1411.595988230033,1624.4435997789392,1326.4764084244418,1744.6923768017073,2804.770431178426,3354.7727789712594,2388.7017209798337,2769.1125053262936,3533.5477350860087,3877.044901731969,108,
474.5245332047924,895.798365762853,643.9674706202144,794.1751437082104,473.05042402679396,1055.548701665443,1027.943183092695,1452.8623940808734,1070.821154899474,1544.6906798308007,1276.596123889479,2430.0517182637395,2146.7229806934447,2919.1180780560608,2058.792080789878,2621.8159038055874,3097.6446652096174,5032.806327011901,112,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,
473.57265031774637,1218.718720149179,634.481556702421,1051.5736913203827,930.8860704275899,1263.3099510969296,1009.3065153121225,2306.262465505158,1041.839167236552,2091.36059621907,2017.2128637038643,2649.927461158875,2018.0992031321966,4335.854960394888,1932.3015214541629,3807.1816733974597,4691.018806102616,5777.016511641948,127,
473.57265031774637,1218.718720149179,634.481556702421,1051.5736913203827,930.8860704275899,1263.3099510969296,1009.3065153121225,2306.262465505158,1041.839167236552,2091.36059621907,2017.2128637038643,2649.927461158875,2018.0992031321966,4335.854960394888,1932.3015214541629,3807.1816733974597,4691.018806102616,5777.016511641948,129,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,
0.0,0.0,0.0,0.0,0.0,215.68325,0.0,0.0,0.0,0.0,371.2955555555556,368.92999999999995,0.0,1064.137,0.0,0.0,835.8331111111111,607.0290000000001,142,
378.11975,329.328,481.22533333333337,396.1936363636363,191.8675555555556,215.44924999999998,774.1785,597.5629999999999,803.6266666666666,662.4478181818182,375.94355555555563,365.8895,1479.4285,1096.1775,1264.5038333333334,967.0976363636364,874.3604444444445,606.569,143,
382.3995,331.53175,485.4928333333333,396.5581818181818,194.6335555555556,218.742,785.46225,594.582,810.0504999999998,653.9209090909089,377.0117777777777,371.64875,1486.7177500000003,1077.3467500000002,1254.3653333333334,942.0878181818179,867.5719999999998,608.8795000000002,144,
364.28824999999995,329.5965,484.02433333333335,397.40236363636365,194.98822222222228,218.06699999999998,782.8942499999998,634.1384999999999,818.7286666666665,674.3667272727272,370.0964444444444,372.99674999999996,1479.2792500000003,1117.088,1270.3638333333336,1008.196545454545,863.0684444444443,621.9010000000001,145,
378.11975,325.30449999999996,475.4821666666667,392.7554545454546,191.4453333333334,215.44924999999998,773.5305000000001,594.04075,795.6996666666665,655.0316363636362,375.82400000000007,365.8895,1474.9492500000001,1094.94475,1249.9955000000002,958.6072727272727,854.6944444444445,599.87225,146,
358.8575,329.328,477.0615,395.79890909090904,191.4453333333334,215.44924999999998,769.058,597.33725,800.11,658.2449090909091,372.6675555555556,365.8895,1478.5722500000002,1096.538,1264.3913333333333,966.3785454545454,861.6188888888889,606.569,147,
351.0845,320.0555,464.422,383.127090909091,191.08000000000004,215.27349999999996,735.175,574.708,771.6994999999998,620.1527272727272,362.5040000000001,359.07925,1411.8037500000003,1030.8135000000002,1205.5513333333333,900.1074545454546,837.0991111111111,592.085,148,
370.75874999999996,325.2525,474.43083333333334,394.23890909090915,194.51400000000004,218.742,785.46225,588.4687500000001,806.3591666666665,642.1136363636363,372.5997777777777,371.52375,1472.2170000000003,1067.9397500000005,1249.1435000000001,941.3636363636361,844.1633333333333,602.5495000000002,149,
365.41099999999994,328.58099999999996,480.80766666666665,394.31218181818184,191.19955555555558,215.44924999999998,785.46225,594.582,809.8024999999999,650.6341818181817,377.0117777777777,371.218,1486.1235000000001,1071.5462500000003,1254.357666666667,941.0383636363633,864.7526666666665,608.44875,150,
351.08449999999993,320.0555,464.422,383.127090909091,191.08000000000004,215.27349999999996,733.88475,575.0262500000001,772.2576666666664,619.8352727272726,362.50399999999996,359.07925,1417.68,1031.50325,1208.1501666666666,890.1712727272726,840.266222222222,593.97625,151,
370.75874999999996,325.2525,474.43083333333334,394.23890909090915,194.51400000000004,218.742,785.46225,588.4687500000001,806.3591666666665,642.1136363636363,372.5997777777777,371.52375,1472.2170000000003,1067.9397500000005,1249.1435000000001,941.3636363636361,844.1633333333333,602.5495000000002,155,
365.41099999999994,328.58099999999996,480.80766666666665,394.31218181818184,191.19955555555558,215.44924999999998,785.46225,594.582,809.8024999999999,650.6341818181817,377.0117777777777,371.218,1486.1235000000001,1071.5462500000003,1254.357666666667,941.0383636363633,864.7526666666665,608.44875,157,
351.08449999999993,320.0555,464.422,383.127090909091,191.08000000000004,215.27349999999996,733.88475,575.0262500000001,772.2576666666664,619.8352727272726,362.50399999999996,359.07925,1417.694,1031.591,1208.1501666666666,890.1712727272726,840.266222222222,593.97625,158,
364.22974999999997,329.665,478.16966666666667,394.22818181818184,194.8686666666667,218.06699999999998,780.7552499999999,608.8359999999999,794.0119999999998,668.0550909090908,369.96955555555553,363.55024999999995,1456.3330000000003,1105.3067500000002,1254.9763333333335,990.7723636363634,850.7375555555553,609.43625,163,
351.38424999999995,329.665,478.1746666666666,395.9714545454545,194.98822222222228,218.06699999999998,776.59325,634.1384999999999,816.3343333333331,669.7121818181818,370.0964444444444,367.23999999999995,1478.1477500000003,1117.4392500000001,1270.3638333333336,1002.1269090909088,850.144222222222,602.7784999999999,164,
351.08449999999993,320.0555,464.422,383.127090909091,191.08000000000004,215.27349999999996,733.964,573.8032499999999,771.6549999999999,620.6921818181817,362.50399999999996,359.07924999999994,1401.464,1027.0105,1204.0476666666664,907.2999999999997,830.9037777777777,590.5512499999999,165,
351.08449999999993,320.0555,464.422,383.127090909091,191.08000000000004,215.27349999999996,733.88475,573.8032499999999,770.0774999999998,618.4792727272726,362.50399999999996,359.07924999999994,1391.563,1018.3207500000001,1197.2923333333333,887.4063636363636,830.9037777777776,590.5512499999999,0,OR tools best
