id,notes,random_random,cluster_random,random_centre,cluster_centre,random_edge,cluster_edge,random_30,cluster_30,random_50,cluster_50,random_90,cluster_90
79,,40.539433915365805,40.3109257960508,31.603335323813486,30.50150155588976,48.883716002556156,47.45183805970629,24.047879493921126,22.343960482714806,36.37212340423438,34.41656932579153,60.60648234357992,61.50373560314052
84,,42.071729513539154,41.32933728487702,33.06911472389986,31.433562543764413,50.2541257878742,48.537602087179884,26.347298995261223,24.15659609986211,37.760218741047794,35.334264911023745,61.287452289004094,61.80964090493546
85,,45.378478360246255,45.701351955371756,35.31474154049775,33.688235834152046,55.468879843103984,55.008597173404,29.165689620780366,28.582669097043762,41.55341838329073,39.92496787070604,65.44299173977699,65.8905479951779
87,,43.349734352948026,43.11517821385129,34.84525696346728,32.90112434006585,51.946553857708466,50.787557922850375,26.461074888326156,24.80442342610709,39.49348606145725,37.08344195924888,64.18698422434028,64.9159950914115
91,,44.554608266591956,43.709420947614184,35.38834085448642,33.31562956821205,53.17619945725945,51.07798727904511,28.013483720751392,25.44838543739678,40.0277585926515,37.52632383616044,65.07790626493488,65.12832852131422
94,,38.82070734864759,37.95484919918093,30.172626475752786,28.532454629342077,46.68145903338429,44.795721330683534,23.07152340336656,21.083412814463948,34.82907201257254,32.43537434378706,57.77419744184549,57.76423800095564
92,,44.459752254105524,43.50437615662308,34.91175072110457,33.108251996723546,53.0897823098497,50.867869288619026,27.730424646845925,25.209312379297828,39.82429068119224,37.00924173503538,64.90656995702159,65.26194332763252
90,,41.286255691587414,41.2441001025884,32.26453101601047,31.17169685230756,49.69132535172068,48.388109434833424,23.68590131370162,22.225810520891844,36.55052202822582,34.618729382143165,63.005688717391195,63.95936648669434
97,,43.536122262642444,44.99839543280249,34.47262888228192,33.04644154837083,52.817104634856726,53.03584776243483,26.306313819898964,26.2432278837352,39.779909418966795,38.71948230504382,64.73963254091528,66.11797455482905
98,,43.26343423687207,42.5969854484156,34.11124472297005,32.4489018027951,51.708387562283086,50.0841117860172,25.356680903537303,23.56257449533391,39.132036162091815,36.55279538729809,64.59434945649602,65.01462915459595
99,,46.2847909378867,45.25905469594938,37.14943264465828,34.99062607307107,54.4650093589323,52.29991098072347,28.19169882517164,26.15178601508072,41.93724631416099,39.0486182922365,67.7702878021447,67.34918744242677
100,,41.93633328218903,41.93395678022741,33.55334359260262,33.28328271415358,49.897252990745514,48.702894007583716,24.539878322114664,23.2229310873978,37.08673908091454,35.453268845083834,63.76031246250808,65.24393356948305
101,,45.09766350846702,45.08993656678717,35.62632918893096,33.628481765050516,54.37574876501244,53.80665934403838,28.784784799076498,27.940691876498313,40.883601176112464,39.3691809403396,65.4313554872215,65.21520485903804
102,,44.305389540114405,43.71822629794253,35.05325064043549,33.37585743026977,53.07147780450037,51.408317208732306,26.855341335374646,24.864550142948072,39.86656063565358,37.480827501031335,65.70821601402209,66.15702329296509
103,,43.73130142740203,42.994521590721135,35.0039741919986,33.07527096662472,52.103460498550014,50.2875162761165,26.240788223237995,24.258427141026182,39.50422153611336,36.75234752035699,65.09372635859934,65.34653417207917
104,,50.66937919536228,47.908802334413096,47.64847625794119,39.58962287101951,58.157165742505434,0.0,31.958361077696978,0.0,48.73062963252701,0.0,75.78603048558502,0.0
111,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,,46.779959201585264,45.65078502696509,34.61000642737239,33.48885764781951,57.96427418787749,0.0,26.07259397516693,0.0,42.01944761091642,0.0,71.26219823075174,0.0
134,,46.851240006298795,45.7194517967745,34.65786919037701,33.53359922368043,58.05074071767677,0.0,26.206349730670702,0.0,42.080236819795786,0.0,71.27326336388609,0.0
152,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,OR tools best,37.96238359570252,37.32647779797163,29.40114432019577,27.9728659227845,45.92272441916326,44.24185299706132,21.95917715676592,20.293481452128912,33.85521075228267,31.77641107513381,57.471864426013056,57.47130419055469
