RC1_25,RC2_25,R1_25,R2_25,C1_25,C2_25,RC1_50,RC2_50,R1_50,R2_50,C1_50,C2_50,RC1_100,RC2_100,R1_100,R2_100,C1_100,C2_100,id,notes
5.25,3.875,6.416666666666667,4.363636363636363,10.444444444444445,12.75,9.125,5.25,10.833333333333334,7.454545454545454,16.22222222222222,25.0,18.5,9.625,18.916666666666668,12.363636363636363,30.0,44.0,108,
4.375,7.375,7.833333333333333,4.545454545454546,7.666666666666667,18.75,8.5,9.0,11.75,9.818181818181818,15.0,42.25,19.25,21.0,27.833333333333332,18.90909090909091,31.88888888888889,74.375,112,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,
4.125,13.75,6.083333333333333,16.636363636363637,19.22222222222222,24.5,8.125,18.0,9.5,28.272727272727273,36.77777777777778,48.375,16.0,43.0,18.333333333333332,55.54545454545455,67.33333333333333,92.25,127,
4.125,13.75,6.083333333333333,16.636363636363637,19.22222222222222,24.5,8.125,18.0,9.5,28.272727272727273,36.77777777777778,48.375,16.0,43.0,18.333333333333332,55.54545454545455,67.33333333333333,92.25,129,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137,
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.111111111111111,2.875,0.0,7.25,0.0,0.0,10.0,3.25,142,
3.75,2.75,5.25,2.4545454545454546,3.0,2.0,7.25,4.0,8.5,3.6363636363636362,5.0,2.75,14.5,6.0,14.083333333333334,5.363636363636363,10.333333333333334,3.125,143,
3.75,2.5,5.333333333333333,2.3636363636363638,3.0,2.0,7.375,4.125,8.5,3.727272727272727,5.0,2.875,14.5,6.625,14.333333333333334,5.454545454545454,10.222222222222221,3.125,144,
3.5,2.5,5.25,2.3636363636363638,3.0,1.75,7.25,3.5,8.5,2.8181818181818183,5.111111111111111,2.875,14.375,5.625,14.083333333333334,4.2727272727272725,10.11111111111111,3.25,145,
3.75,2.875,5.166666666666667,2.5454545454545454,3.0,2.0,7.25,4.125,8.333333333333334,3.727272727272727,5.0,2.75,14.375,6.0,14.0,5.454545454545454,10.11111111111111,3.125,146,
3.375,2.75,5.166666666666667,2.4545454545454546,3.0,2.0,7.125,4.0,8.5,3.727272727272727,5.0,2.75,14.5,6.0,14.083333333333334,5.363636363636363,10.222222222222221,3.125,147,
3.25,2.875,5.083333333333333,2.727272727272727,3.0,1.875,6.625,4.375,8.0,3.727272727272727,5.0,2.75,13.625,5.875,13.416666666666666,5.0,10.0,3.0,148,
3.625,2.875,5.333333333333333,2.4545454545454546,3.0,2.0,7.375,4.375,8.5,3.6363636363636362,5.0,2.75,14.375,6.75,14.166666666666666,5.454545454545454,10.11111111111111,3.125,149,
3.5,2.5,5.25,2.3636363636363638,3.0,2.0,7.375,4.125,8.5,3.6363636363636362,5.0,2.875,14.5,6.625,14.333333333333334,5.454545454545454,10.222222222222221,3.125,150,
3.25,2.875,5.083333333333333,2.727272727272727,3.0,1.875,6.625,4.375,8.083333333333334,3.8181818181818183,5.0,2.75,13.875,6.125,13.75,5.181818181818182,10.0,3.0,151,
3.625,2.875,5.333333333333333,2.4545454545454546,3.0,2.0,7.375,4.375,8.5,3.6363636363636362,5.0,2.75,14.375,6.75,14.166666666666666,5.454545454545454,10.11111111111111,3.125,155,
3.5,2.5,5.25,2.3636363636363638,3.0,2.0,7.375,4.125,8.5,3.6363636363636362,5.0,2.875,14.5,6.625,14.333333333333334,5.454545454545454,10.222222222222221,3.125,157,
3.25,2.875,5.083333333333333,2.727272727272727,3.0,1.875,6.625,4.375,8.083333333333334,3.8181818181818183,5.0,2.75,13.875,6.125,13.75,5.181818181818182,10.0,3.0,158,
3.5,2.5,5.416666666666667,2.4545454545454546,3.0,1.75,7.25,3.875,8.5,2.909090909090909,5.0,2.875,14.125,6.0,14.166666666666666,4.545454545454546,10.0,3.125,163,
3.25,2.5,5.166666666666667,2.3636363636363638,3.0,1.75,7.125,3.5,8.416666666666666,2.8181818181818183,5.111111111111111,2.875,14.375,5.625,14.083333333333334,4.2727272727272725,10.0,3.125,164,
3.25,2.875,5.083333333333333,2.727272727272727,3.0,1.875,6.625,4.25,8.0,3.8181818181818183,5.0,2.75,13.75,6.0,13.666666666666666,4.818181818181818,10.0,3.0,165,
3.25,2.875,5.083333333333333,2.727272727272727,3.0,1.875,6.625,4.25,8.0,3.909090909090909,5.0,2.75,13.625,6.125,13.583333333333334,5.181818181818182,10.0,3.0,0,
