A,B,E,F,M,P,CMT,id,notes
3.602710344272412,4.385500835193735,3.600856335041039,0.0,0.0,2.953774329268434,0.0,81,
0.10165031531712856,0.12578497735468164,0.13738237929034436,0.6019118980297438,0.38956770965382054,0.11112476711442701,0.28387299831912727,79,
0.19061205933483077,0.16562420233562292,0.21612965383650265,0.7992973874826067,0.6716103613106666,0.1608053677020959,0.4896083465079622,84,
0.27469534000119267,0.3219470051445799,0.4015382388954509,1.2861941029114128,1.4991017839250567,0.260188430350313,0.9418859512989701,85,
0.20314730876899215,0.19104480407134503,0.21158770294293155,0.4618934148140393,0.4072227242454016,0.19362061984535106,0.35678129429345606,87,
0.2679253358954766,0.22553542287015801,0.3726056714314568,0.6323998976064108,0.572555806627796,0.2924446624609758,0.5198937131826703,91,
0.07409951023677247,0.061975704250171744,0.0960135641491766,0.1304781470508798,0.08173557013102077,0.0737554071691108,0.11779617200459636,94,
0.3051680424790881,0.1824414835554564,0.32100345596232516,0.5431861664241397,0.6218410293668042,0.2808768255731909,0.5122540270147079,92,
0.11480391129047698,0.16803982321344382,0.1469093274784331,0.2866673600468672,0.26150783928405014,0.1371077841736484,0.20535108682641168,90,
0.22055953369095335,0.3869501217170678,0.31080517506282224,0.4835531230864892,0.5950118441664013,0.2628072388490036,0.46287643694434005,97,
0.11668983096104837,0.130064773506313,0.18406088364433854,0.43578171682525485,0.49393566564621055,0.15183594893455793,0.3485556108637165,98,
0.33367342551655854,0.3065109517330082,0.3393863678329134,0.7530220283137472,0.5365360845583681,0.29443113475500765,0.4765618881905081,99,
0.11443991034706495,0.13991524770874486,0.1651766995330734,0.878607694220707,0.5868576691840007,0.12201778452507872,0.39537433611196504,100,
0.27107326903047424,0.36237058414380857,0.3730354888744217,1.0761075172674814,1.115153036751293,0.2540593463654815,0.7033148866865881,101,
0.207745093683483,0.2025987300647211,0.25399419759604275,0.5096522349742624,0.5820747045085888,0.20475302401330564,0.465775596801271,102,
0.15039490404282294,0.12780246792017882,0.21778313489356468,0.825644016587726,0.6485888113599727,0.16803636201456482,0.4777093997275929,103,
0.0,0.3203102408590826,0.0,0.6069293708425851,0.0,0.0,0.0,104,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,
0.0,0.0,0.0,0.0,0.2090466471143944,0.10411869153591206,0.160372622905926,133,
0.0,0.0,0.0,0.0,0.21126825977285088,0.10539409751829054,0.16469447292243886,134,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,
0.003667618983643244,0.0030160571557863434,0.0,-0.00617764881780447,0.033299170271701706,0.0002899360460147337,0.027864502771700373,0,OR tools best
